,HBCU,INSTNM,BBRR4_FED_PELL_DFLT,BBRR4_FED_PELL_PAIDINFULL,PELL_DEBT_MDN,COSTT4_A,ADM_RATE,C150_4_PELL,RET_FT4,MD_EARN_WNE_P6
2702,0.0,Carnegie Mellon University,<=0.02,0.35-0.36,20901.0,77465.0,0.113,0.8796,0.973,105360.0
2703,0.0,Cedar Crest College,0.05-0.09,0.05-0.09,23861.0,54458.0,0.8425,0.5402,0.7262,48295.0
2704,0.0,Central Penn College,0.15-0.19,<=0.05,13151.0,26955.0,0.3399,0.2075,0.75,40798.0
2705,0.0,Chatham University,0.07-0.08,0.09-0.10,18916.0,55395.0,0.6633,0.661,0.8,48709.0
2706,0.0,Chestnut Hill College,0.10-0.14,<=0.05,20834.0,54628.0,0.9819,0.5189,0.6739,45221.0
2707,1.0,Cheyney University of Pennsylvania,0.20-0.39,<=0.20,15000.0,24886.0,,0.1567,0.6829,28568.0
2708,0.0,Citizens School of Nursing,PS,PS,12000.0,,0.119,,,65501.0
2709,0.0,DLP Conemaugh Memorial Medical Center,<=0.20,<=0.20,12000.0,,0.4211,,,64119.0
2710,0.0,Curtis Institute of Music,PS,PS,,32446.0,0.0966,1.0,1.0,31201.0
2711,0.0,Delaware County Community College,0.15,0.04,8810.0,14125.0,,,,37658.0
2712,0.0,Delaware Valley University,0.13-0.14,0.13-0.14,18750.0,57745.0,0.9543,0.4459,0.7587,41324.0
2713,0.0,Dickinson College,<=0.10,0.20-0.29,15500.0,77188.0,0.3492,0.8391,0.8877,57110.0
2714,0.0,Douglas Education Center,0.20-0.39,<=0.20,12000.0,31022.0,,,,25006.0
2715,0.0,Drexel University,0.04,0.15,23549.0,72427.0,0.7961,0.7509,0.8699,69063.0
2716,0.0,Duquesne University,0.04,0.12,25500.0,60583.0,0.8749,0.7717,0.838,62627.0
2717,0.0,East Stroudsburg University of Pennsylvania,0.12,0.08,17500.0,24149.0,0.9363,0.3592,0.7355,44290.0
2718,0.0,Eastern University,0.09-0.10,0.05-0.06,20000.0,52302.0,0.6323,0.5152,0.7439,41580.0
2719,0.0,Elizabethtown College,0.05-0.06,0.13-0.14,25000.0,48098.0,0.8112,0.6893,0.8499,54833.0
2720,0.0,Empire Beauty School-Lebanon,0.20-0.29,<=0.10,6525.0,,,,,18493.0
2721,0.0,Empire Beauty School-York,0.20-0.24,<=0.05,7706.0,,,,,20215.0
2722,0.0,Empire Beauty School-Lancaster,0.20-0.29,<=0.10,8028.0,,,,,19285.0
2723,0.0,Empire Beauty School-Shamokin Dam,0.20-0.29,<=0.10,8028.0,,,,,19285.0
2724,0.0,Empire Beauty School-Pottsville,0.20-0.29,<=0.10,6333.0,,,,,21743.0
2725,0.0,Empire Beauty  School-Lehigh Valley,0.20-0.29,<=0.10,8028.0,,,,,19285.0
2726,0.0,Empire Beauty School-Gwinnett,0.20-0.29,<=0.10,6333.0,,,,,21743.0
2727,0.0,Empire Beauty School-Wyoming Valley,0.20-0.24,<=0.05,7706.0,,,,,20215.0
2728,0.0,Empire Beauty School-Harrisburg,0.20-0.29,<=0.10,6525.0,,,,,18493.0
2729,0.0,Empire Beauty School-Reading,0.20-0.24,<=0.05,7706.0,,,,,20215.0
2730,0.0,Erie Institute of Technology Inc,<=0.20,<=0.20,8574.0,25206.0,,,,37468.0
2731,0.0,Franklin and Marshall College,<=0.05,0.15-0.19,19000.0,80319.0,0.3623,0.823,0.8782,62544.0
2732,0.0,Gannon University,0.05-0.06,0.11-0.12,23375.0,48076.0,0.8085,0.5707,0.7865,55319.0
2733,0.0,Geneva College,0.05-0.09,0.10-0.14,19000.0,41066.0,0.7905,0.6505,0.7531,46107.0
2734,0.0,Gettysburg College,<=0.05,0.25-0.29,21500.0,76330.0,0.5631,0.8333,0.8857,57274.0
2735,0.0,Empire Beauty School-NE Philadelphia,0.20-0.29,<=0.10,6800.0,,,,,20172.0
2736,0.0,Gratz College,PS,PS,,,,,,
2737,0.0,Grove City College,PS,PS,,,0.7098,,0.8819,
2738,0.0,Gwynedd Mercy University,0.05-0.06,0.07-0.08,26000.0,51628.0,0.5842,0.4125,0.7643,65976.0
2739,0.0,Harcum College,0.20-0.24,<=0.05,11560.0,39860.0,,,,37871.0
2740,0.0,Harrisburg Area Community College,0.18,0.08,9500.0,15919.0,,,,36499.0
2741,0.0,Haverford College,<=0.20,0.20-0.39,7411.0,81420.0,0.1421,0.9259,0.9611,53353.0
2742,0.0,Commonwealth Technical Institute,PS,PS,,20748.0,,,,20040.0
2743,0.0,Holy Family University,0.07-0.08,0.11-0.12,25000.0,37674.0,0.7744,0.507,0.7919,55285.0
2744,0.0,Hussian College-Philadelphia,0.30-0.39,<=0.10,9500.0,33858.0,0.7097,,0.9,26862.0
2745,0.0,Immaculata University,0.09-0.10,0.07-0.08,20359.0,44986.0,0.6974,0.5397,0.8316,56416.0
2746,0.0,Indiana University of Pennsylvania-Main Campus,0.11,0.08,20034.0,27923.0,0.9194,0.379,0.706,42278.0
2747,0.0,UPMC Jameson School of Nursing,PS,PS,9500.0,26675.0,0.9231,,,61166.0
2748,0.0,Great Lakes Institute of Technology,<=0.20,<=0.20,9154.0,,,,,26092.0
2749,0.0,Johnson College,0.10-0.19,<=0.10,12000.0,26338.0,0.9608,,,44043.0
2750,0.0,Juniata College,<=0.05,0.10-0.14,27000.0,65999.0,0.7616,0.6638,0.8066,48571.0
2751,0.0,Keystone College,0.10-0.14,0.05-0.09,17250.0,30927.0,0.8066,0.3602,0.6447,36653.0
2752,0.0,King's College,0.07-0.08,0.07-0.08,21888.0,55232.0,0.9599,0.549,0.777,51734.0
2753,0.0,Butler Beauty Academy-Kittanning Beauty Academy,PS,PS,,,,,,18947.0
2754,0.0,Kutztown University of Pennsylvania,0.10,0.07,20969.0,27730.0,0.9614,0.5009,0.7929,43309.0
